start_date,deaths
2015-06-29,1697
2015-09-14,1699
2016-09-12,1707
2017-08-28,1711
2015-08-24,1722
2015-06-22,1727
2015-08-10,1738
2017-08-07,1739
2015-07-20,1751
2017-07-31,1759
2018-07-02,1765
2018-08-27,1766
2019-08-12,1769
2018-07-09,1771
2017-08-14,1781
2017-09-04,1783
2017-06-26,1784
2015-08-17,1787
2017-07-17,1790
2015-07-13,1790
2015-05-18,1791
2015-10-05,1792
2015-07-27,1792
2017-09-18,1793
2017-07-03,1796
2018-09-10,1796
2017-07-24,1799
2016-06-13,1799
2015-06-08,1799
2017-09-11,1801
2015-08-31,1803
2015-07-06,1805
2017-07-10,1806
2019-09-09,1808
2015-10-12,1809
2015-08-03,1811
2017-05-29,1815
2020-06-08,1816
2015-04-20,1816
2018-07-16,1816
2015-04-27,1819
2015-09-07,1821
2019-07-15,1821
2019-09-23,1822
2018-07-23,1824
2017-04-17,1825
2017-06-05,1826
2018-09-24,1828
2017-05-15,1833
2016-09-19,1835
2018-09-03,1837
2019-08-05,1838
2019-07-22,1841
2019-06-03,1841
2019-07-29,1843
2015-06-15,1845
2017-05-08,1846
2015-06-01,1847
2016-05-09,1849
2016-09-26,1852
2015-11-09,1854
2016-10-03,1856
2015-09-21,1856
2019-10-07,1860
2016-08-01,1864
2016-09-05,1864
2018-09-17,1867
2019-06-10,1873
2016-08-29,1873
2017-10-09,1877
2016-10-10,1879
2020-06-15,1879
2016-08-15,1879
2019-08-26,1880
2015-10-19,1882
2019-07-01,1882
2018-05-28,1883
2015-10-26,1883
2018-10-01,1890
2016-06-27,1893
2019-07-08,1898
2019-09-16,1899
2019-09-30,1901
2017-04-24,1902
2016-06-06,1906
2019-10-14,1909
2017-11-06,1910
2015-05-11,1911
2015-11-16,1912
2016-07-04,1913
2015-09-28,1914
2016-08-22,1914
2019-06-17,1916
2016-06-20,1916
2017-10-30,1918
2020-08-10,1919
2019-06-24,1919
2019-05-20,1919
2017-05-22,1922
2018-06-11,1928
2019-05-13,1931
2017-10-23,1932
2015-04-06,1933
2019-09-02,1933
2016-07-11,1934
2018-10-08,1935
2018-06-25,1936
2015-04-13,1937
2019-08-19,1938
2016-10-31,1939
2018-08-13,1939
2015-05-04,1941
2018-10-15,1943
2017-09-25,1945
2019-05-27,1948
2015-05-25,1950
2016-05-02,1954
2016-07-18,1958
2018-08-20,1960
2017-08-21,1960
2020-06-01,1966
2017-06-12,1969
2018-05-07,1970
2015-11-02,1970
2016-05-23,1971
2016-10-24,1971
2018-06-04,1977
2018-05-21,1982
2017-10-02,1983
2016-05-30,1983
2019-05-06,1988
2016-04-18,1989
2020-08-17,1990
2018-10-22,1996
2020-08-31,2001
2015-12-07,2002
2017-10-16,2004
2020-06-29,2010
2017-05-01,2011
2018-04-30,2012
2017-03-27,2015
2016-04-25,2025
2016-10-17,2026
2020-05-18,2026
2017-04-10,2033
2016-11-07,2040
2015-11-23,2040
2020-05-11,2042
2018-10-29,2043
2016-05-16,2045
2020-08-24,2046
2016-07-25,2054
2018-05-14,2066
2020-08-03,2070
2017-04-03,2071
2018-11-19,2071
2017-03-20,2074
2019-04-29,2081
2020-06-22,2082
2015-03-23,2083
2019-04-22,2084
2015-11-30,2088
2016-08-08,2091
2018-11-12,2093
2019-04-15,2096
2019-11-04,2097
2019-04-01,2097
2018-06-18,2104
2020-05-04,2105
2018-04-23,2117
2018-11-05,2124
2020-04-27,2124
2016-11-14,2127
2019-12-02,2128
2017-02-27,2129
2018-12-10,2129
2015-12-14,2131
2019-10-21,2131
2018-11-26,2132
2019-04-08,2132
2019-10-28,2134
2019-03-25,2135
2017-06-19,2139
2020-09-07,2144
2019-11-11,2148
2017-03-06,2149
2018-12-03,2150
2017-03-13,2151
2017-11-13,2161
2016-04-11,2166
2017-11-20,2168
2020-03-02,2172
2020-07-06,2176
2015-03-30,2179
2017-11-27,2193
2018-04-16,2197
2016-11-21,2197
2019-03-18,2199
2018-08-06,2199
2020-07-27,2203
2016-03-28,2214
2016-04-04,2225
2020-04-20,2227
2019-11-18,2233
2018-03-19,2234
2017-02-20,2237
2019-11-25,2241
2018-12-17,2249
2018-07-30,2250
2019-03-11,2258
2020-02-10,2271
2016-02-01,2271
2016-03-21,2271
2018-04-09,2276
2019-12-16,2284
2015-03-16,2284
2016-03-14,2288
2020-05-25,2290
2019-12-09,2290
2016-02-22,2296
2020-02-24,2298
2015-03-09,2314
2019-03-04,2329
2016-01-11,2332
2016-01-25,2332
2020-04-13,2333
2020-03-09,2341
2016-02-15,2345
2016-02-08,2351
2018-04-02,2354
2018-03-26,2356
2020-02-17,2356
2016-12-05,2363
2017-02-13,2369
2018-03-12,2371
2016-03-07,2380
2018-03-05,2387
2016-11-28,2388
2016-02-29,2391
2020-03-16,2422
2020-07-20,2426
2019-02-25,2441
2015-03-02,2447
2017-02-06,2453
2017-12-11,2455
2016-01-18,2456
2017-12-04,2465
2020-02-03,2475
2017-12-18,2510
2020-03-23,2522
2016-12-12,2526
2020-04-06,2543
2019-02-18,2546
2020-07-13,2558
2020-03-30,2604
2018-01-29,2619
2020-01-06,2654
2018-02-26,2656
2020-01-20,2662
2020-01-27,2678
2015-02-16,2684
2018-01-22,2693
2015-02-23,2699
2019-02-11,2711
2017-01-30,2736
2020-01-13,2762
2018-02-19,2777
2019-02-04,2779
2018-02-05,2783
2018-01-08,2803
2018-01-15,2805
2016-12-19,2809
2018-02-12,2815
2015-02-02,2869
2017-01-16,2880
2019-01-07,2884
2019-01-28,2899
2015-01-26,2909
2017-01-09,2967
2015-02-09,2977
2019-01-14,2985
2017-01-23,2995
2019-01-21,3021
2015-01-05,3054
2015-01-19,3088
2015-01-12,3167
